,Baseline Model [MAE],Baseline Model [RMSE],Trained Model [MAE],Trained Model [RMSE],Prediction [MAE],Prediction [RMSE]
NEH3,41.287551465763364,53.44636077499214,21.580603,28.526566,31.5250352141145,41.410090585117835
DEH1,33.74561469067656,41.092283542663964,22.26285,28.545738,32.68644905347503,39.65312632041123
IAH4,33.140212104848466,40.91317597385517,23.097576,29.843002,31.11584828328084,38.06666786188465
IAH1,40.96115936951189,48.267865092339086,22.983383,30.582539,18.698296343635107,23.799729641105035
TXH2,33.49856341231473,40.497574888402475,22.440413,28.998306,74.79655521607215,82.04434886477667
ILH1,30.3229036316245,37.271186597962384,22.127672,29.100977,32.51259615398068,40.274899468460184
WIH2,37.299555576806874,43.98029177085791,22.85611,29.65696,19.625742732256775,25.620188249969136
ARH1,61.46484041935333,71.82908696306313,21.9827,28.89489,73.8962582397461,84.35202730314968
ARH2,24.04267178462282,29.148774301237587,22.283659,29.284544,27.485690625387527,34.0724636652159
NEH4,109.11174144026802,109.64018686096098,22.496204,29.590542,100.95264929672767,101.88182615968636
COH1,53.93030870812648,59.36086320234907,22.962473,29.95895,83.71412939760552,88.92782021052403
INH1,43.56038606231726,49.67350741468399,22.350428,29.066004,23.61398308216442,28.97456330969293
MNH1,27.841574528251414,38.06091610828887,22.578844,29.549625,27.20914451962426,37.93716337473413
MOH1,26.295790271329622,33.96915076008775,22.778419,29.638288,29.779987549600715,37.47715552427532
IAH2,24.672229796080448,30.874363585179957,22.70681,29.717148,24.804800072289087,30.930049834772174
NYH2,30.24504350193912,36.878332208371,22.083673,29.369179,26.62397204293716,35.70692318847167
WIH1,46.95011593963506,54.7694678189198,21.597258,28.172865,28.10031542083595,35.0374081849894
MIH1,29.819726457047338,36.93234827583375,22.053175,28.736326,28.271276288466023,36.21205469401903
GAH2,32.152815621464946,42.44806614668441,22.055315,28.852839,24.71493060652617,34.07612938099807
NCH1,24.344490780174652,30.76054451318564,22.382744,29.419186,21.7944710969745,27.46678986798183
GAH1,42.87625593240793,55.59729859948619,21.847517,28.469097,37.054821493343425,48.50694758845143
